Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
1599,1944,Malign neo pineal gland,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1600,1945,Mal neo carotid body,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Medium"
1601,1946,Mal neo paraganglia NEC,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Medium"
1602,1948,Mal neo endocrine NEC,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Medium"
1603,1949,Mal neo endocrine NOS,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Medium"
1604,1950,Mal neo head/face/neck,Hd/nck cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1605,1951,Malign neopl thorax,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1606,1952,Malig neo abdomen,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1607,1953,Malign neopl pelvis,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1608,1954,Malign neopl arm,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1609,1955,Malign neopl leg,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1610,1958,Malig neo site NEC,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1611,1960,Mal neo lymph-head/neck,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1612,1961,Mal neo lymph-intrathor,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1613,1962,Mal neo lymph intra-abd,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1614,1963,Mal neo lymph-axilla/arm,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1615,1965,Mal neo lymph-inguin/leg,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1616,1966,Mal neo lymph-intrapelv,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1617,1968,Mal neo lymph node-mult,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1618,1969,Mal neo lymph node NOS,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1619,1970,Secondary malig neo lung,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1620,1971,Sec mal neo mediastinum,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1621,1972,Second malig neo pleura,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1622,1973,Sec malig neo resp NEC,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
